total_posts,helpful_post,nice_code_post,collaborative_post,confused_post,creative_post,bad_post,amazing_post,timeonline,sk1_classroom,sk2_classroom,sk5_classroom,sk3_classroom,sk4_classroom,Approved,sk1_classroom_Numeric,sk2_classroom_Numeric,sk5_classroom_Numeric,sk3_classroom_Numeric,sk4_classroom_Numeric,Total_Interaction_Count,Average_Post_Activity,Helpful_Post_Rate,Nice_Code_Post_Rate,Collaborative_Post_Rate,Confusion_Post_Rate,Creative_Post_Rate,Negative_Post_Rate,Amazing_Post_Rate,Positive_Engagement_Count,Positive_Engagement_Rate,Help_Seeking_Negative_Count,Help_Seeking_Negative_Rate,Time_Online_Minutes,Time_Per_Post,Interaction_Density,Classroom_Skill_Mean,Classroom_Skill_Std,Classroom_Skill_Max,Classroom_Skill_Min,Classroom_Skill_Range
5.0,1.0,3.0,6.0,0.0,16.0,0.0,20.0,18063.0,"5,2","5,1",5,"7,3","8,6",1,3.5,3.0,5.0,5.0,7.0,51.0,7.285714285714286,0.2,0.6,1.2,0.0,3.2,0.0,4.0,46.0,9.2,1.0,0.2,18063.0,3612.6,0.002823294951284322,4.7,1.5652475842498528,7.0,3.0,4.0
4.0,1.0,0.0,1.0,0.0,13.0,0.0,10.0,7269.0,"5,8","6,7",7,"6,7","8,4",1,6.5,6.5,7.0,6.5,6.0,29.0,4.142857142857143,0.25,0.0,0.25,0.0,3.25,0.0,2.5,25.0,6.25,1.0,0.25,7269.0,1817.25,0.003988995873452545,6.5,0.3535533905932738,7.0,6.0,1.0
4.0,3.0,1.0,4.0,0.0,21.0,0.0,19.0,8900.0,"7,2",6,5,"8,3","9,6",1,4.5,6.0,5.0,5.5,7.5,52.0,7.428571428571429,0.75,0.25,1.0,0.0,5.25,0.0,4.75,48.0,12.0,3.0,0.75,8900.0,2225.0,0.005842040220199978,5.7,1.1510864433221337,7.5,4.5,3.0
7.0,2.0,8.0,20.0,0.0,16.0,0.0,29.0,16753.0,"9,3","8,4",10,10,10,1,6.0,6.0,10.0,10.0,10.0,82.0,11.714285714285714,0.2857142857142857,1.1428571428571428,2.857142857142857,0.0,2.2857142857142856,0.0,4.142857142857143,75.0,10.714285714285714,2.0,0.2857142857142857,16753.0,2393.285714285714,0.004894353587203056,8.4,2.1908902300206643,10.0,6.0,4.0
5.0,1.0,0.0,4.0,0.0,8.0,0.0,24.0,17348.0,"7,7","6,4",9,"9,3","8,8",1,7.0,5.0,9.0,6.0,8.0,42.0,6.0,0.2,0.0,0.8,0.0,1.6,0.0,4.8,37.0,7.4,1.0,0.2,17348.0,3469.6,0.0024208888120352758,7.0,1.5811388300841898,9.0,5.0,4.0
2.0,2.0,1.0,7.0,1.0,9.0,0.0,8.0,4152.0,7,5,5,6,"8,7",1,7.0,5.0,5.0,6.0,7.5,30.0,4.285714285714286,1.0,0.5,3.5,0.5,4.5,0.0,4.0,27.0,13.5,3.0,1.5,4152.0,2076.0,0.007223693715386468,6.1,1.140175425099138,7.5,5.0,2.5
2.0,3.0,3.0,10.0,0.0,16.0,0.0,26.0,5771.0,"8,2","7,1","7,5","7,1","8,8",1,5.0,4.0,6.0,4.0,8.0,60.0,8.571428571428571,1.5,1.5,5.0,0.0,8.0,0.0,13.0,58.0,29.0,3.0,1.5,5771.0,2885.5,0.010395010395010396,5.4,1.6733200530681511,8.0,4.0,4.0
2.0,2.0,1.0,5.0,0.0,10.0,0.0,10.0,1581.0,5,6,5,6,"8,1",1,5.0,6.0,5.0,6.0,4.5,30.0,4.285714285714286,1.0,0.5,2.5,0.0,5.0,0.0,5.0,28.0,14.0,2.0,1.0,1581.0,790.5,0.018963337547408345,5.3,0.6708203932499369,6.0,4.5,1.5
1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,368.0,5,6,5,6,"8,1",1,5.0,6.0,5.0,6.0,4.5,8.0,1.1428571428571428,0.0,0.0,1.0,0.0,2.0,0.0,4.0,7.0,7.0,0.0,0.0,368.0,368.0,0.02168021680216802,5.3,0.6708203932499369,6.0,4.5,1.5
18.0,16.0,27.0,42.0,3.0,76.0,2.0,54.0,21506.0,9,9,9,"9,3","8,6",1,9.0,9.0,9.0,6.0,7.0,238.0,34.0,0.8888888888888888,1.5,2.3333333333333335,0.16666666666666666,4.222222222222222,0.1111111111111111,3.0,215.0,11.944444444444445,19.0,1.0555555555555556,21506.0,1194.7777777777778,0.011066164504579904,8.0,1.4142135623730951,9.0,6.0,3.0
2.0,0.0,2.0,4.0,0.0,7.0,0.0,9.0,3247.0,"4,2","5,9","7,5","6,1","8,7",1,3.0,7.0,6.0,3.5,7.5,24.0,3.4285714285714284,0.0,1.0,2.0,0.0,3.5,0.0,4.5,22.0,11.0,0.0,0.0,3247.0,1623.5,0.007389162561576354,5.4,2.043281674170255,7.5,3.0,4.5
13.0,8.0,14.0,33.0,1.0,35.0,0.0,26.0,20765.0,"9,3","9,3",8,"9,3","9,4",1,6.0,6.0,8.0,6.0,6.5,130.0,18.571428571428573,0.6153846153846154,1.0769230769230769,2.5384615384615383,0.07692307692307693,2.6923076923076925,0.0,2.0,116.0,8.923076923076923,9.0,0.6923076923076923,20765.0,1597.3076923076924,0.006260233073292883,6.5,0.8660254037844386,8.0,6.0,2.0
3.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,1284.0,"0,8","0,3",0,"0,3","0,2",0,4.0,1.5,0.0,1.5,1.0,13.0,1.8571428571428572,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,2.3333333333333335,10.0,3.3333333333333335,0.0,0.0,1284.0,428.0,0.010116731517509728,1.6,1.4747881203752624,4.0,0.0,4.0
15.0,8.0,8.0,29.0,0.0,65.0,0.0,61.0,22594.0,10,9,8,8,10,1,10.0,9.0,8.0,8.0,10.0,186.0,26.571428571428573,0.5333333333333333,0.5333333333333333,1.9333333333333333,0.0,4.333333333333333,0.0,4.066666666666666,171.0,11.4,8.0,0.5333333333333333,22594.0,1506.2666666666667,0.008231909714538615,9.0,1.0,10.0,8.0,2.0
8.0,3.0,20.0,12.0,0.0,24.0,0.0,33.0,10447.0,"8,3","8,4",7,"9,3","8,4",1,5.5,6.0,7.0,6.0,6.0,100.0,14.285714285714286,0.375,2.5,1.5,0.0,3.0,0.0,4.125,92.0,11.5,3.0,0.375,10447.0,1305.875,0.009571209800918835,6.1,0.5477225575051662,7.0,5.5,1.5
13.0,11.0,13.0,24.0,0.0,34.0,0.0,28.0,19244.0,10,9,8,8,10,1,10.0,9.0,8.0,8.0,10.0,123.0,17.571428571428573,0.8461538461538461,1.0,1.8461538461538463,0.0,2.6153846153846154,0.0,2.1538461538461537,110.0,8.461538461538462,11.0,0.8461538461538461,19244.0,1480.3076923076924,0.006391270459859704,9.0,1.0,10.0,8.0,2.0
6.0,6.0,13.0,15.0,0.0,26.0,0.0,34.0,27669.0,7,5,5,6,10,1,7.0,5.0,5.0,6.0,10.0,100.0,14.285714285714286,1.0,2.1666666666666665,2.5,0.0,4.333333333333333,0.0,5.666666666666667,94.0,15.666666666666666,6.0,1.0,27669.0,4611.5,0.003614022406938923,6.6,2.073644135332772,10.0,5.0,5.0
11.0,8.0,18.0,33.0,0.0,44.0,0.0,53.0,17693.0,9,9,10,"9,7",10,1,9.0,9.0,10.0,8.0,10.0,167.0,23.857142857142858,0.7272727272727273,1.6363636363636365,3.0,0.0,4.0,0.0,4.818181818181818,156.0,14.181818181818182,8.0,0.7272727272727273,17693.0,1608.4545454545455,0.00943822764779021,9.2,0.8366600265340756,10.0,8.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,0,0,0,"0,1",0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.641025641025641,1.0,1.9340579710144927,0.0,3.416666666666667,0.0,3.583333333333333,0.0,10.583333333333332,0.0,0.7303030303030302,734.0,1615.9772727272727,0.0,0.1,0.223606797749979,0.5,0.0,0.5
3.0,1.0,1.0,7.0,0.0,10.0,0.0,24.0,8867.0,8,8,9,8,"9,4",1,8.0,8.0,9.0,8.0,6.5,46.0,6.571428571428571,0.3333333333333333,0.3333333333333333,2.3333333333333335,0.0,3.3333333333333335,0.0,8.0,43.0,14.333333333333334,1.0,0.3333333333333333,8867.0,2955.6666666666665,0.005187189896256202,7.9,0.8944271909999159,9.0,6.5,2.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641025641025641,1.0,1.9340579710144927,0.0,3.416666666666667,0.0,3.583333333333333,0.0,10.583333333333332,0.0,0.7303030303030302,0.0,1615.9772727272727,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,0.0,12.0,0.0,9.0,14875.0,"4,3","4,9",4,"6,7","9,8",1,3.5,6.5,4.0,6.5,8.5,29.0,4.142857142857143,0.0,0.0,1.0,0.0,3.0,0.0,2.25,25.0,6.25,0.0,0.0,14875.0,3718.75,0.0019494487765528367,5.8,2.04939015319192,8.5,3.5,5.0
12.0,7.0,11.0,37.0,0.0,34.0,0.0,64.0,22701.0,8,8,8,7,9,1,8.0,8.0,8.0,7.0,9.0,165.0,23.571428571428573,0.5833333333333334,0.9166666666666666,3.0833333333333335,0.0,2.8333333333333335,0.0,5.333333333333333,153.0,12.75,7.0,0.5833333333333334,22701.0,1891.75,0.007268082107303321,8.0,0.7071067811865476,9.0,7.0,2.0
2.0,5.0,1.0,7.0,2.0,4.0,0.0,2.0,1655.0,8,8,9,8,"8,8",1,8.0,8.0,9.0,8.0,8.0,23.0,3.2857142857142856,2.5,0.5,3.5,1.0,2.0,0.0,1.0,19.0,9.5,7.0,3.5,1655.0,827.5,0.013888888888888888,8.2,0.4472135954999579,9.0,8.0,1.0
3.0,3.0,2.0,3.0,0.0,12.0,0.0,12.0,3019.0,"5,6","5,5",6,"5,2","9,4",1,5.5,5.0,6.0,3.5,6.5,35.0,5.0,1.0,0.6666666666666666,1.0,0.0,4.0,0.0,4.0,32.0,10.666666666666666,3.0,1.0,3019.0,1006.3333333333334,0.011589403973509934,5.3,1.1510864433221337,6.5,3.5,3.0
10.0,3.0,15.0,16.0,2.0,22.0,0.0,24.0,14728.0,"9,3","9,2",10,10,10,1,6.0,5.5,10.0,10.0,10.0,92.0,13.142857142857142,0.3,1.5,1.6,0.2,2.2,0.0,2.4,80.0,8.0,5.0,0.5,14728.0,1472.8,0.006246181003462557,8.3,2.3345235059857505,10.0,5.5,4.5
4.0,1.0,3.0,3.0,0.0,10.0,0.0,11.0,9601.0,7,8,8,7,10,1,7.0,8.0,8.0,7.0,10.0,32.0,4.571428571428571,0.25,0.75,0.75,0.0,2.5,0.0,2.75,28.0,7.0,1.0,0.25,9601.0,2400.25,0.0033326390335346803,8.0,1.224744871391589,10.0,7.0,3.0
7.0,9.0,16.0,35.0,0.0,27.0,0.0,27.0,18510.0,"8,3","8,7",7,"8,7","9,7",1,5.5,7.5,7.0,7.5,8.0,121.0,17.285714285714285,1.2857142857142858,2.2857142857142856,5.0,0.0,3.857142857142857,0.0,3.857142857142857,114.0,16.285714285714285,9.0,1.2857142857142858,18510.0,2644.285714285714,0.006536653881475879,7.1,0.9617692030835672,8.0,5.5,2.5
6.0,5.0,1.0,13.0,0.0,18.0,0.0,26.0,13084.0,"6,3","6,3","7,5","7,8",10,1,4.5,4.5,6.0,7.5,10.0,69.0,9.857142857142858,0.8333333333333334,0.16666666666666666,2.1666666666666665,0.0,3.0,0.0,4.333333333333333,63.0,10.5,5.0,0.8333333333333334,13084.0,2180.6666666666665,0.005273213603362629,6.5,2.318404623873926,10.0,4.5,5.5
2.0,1.0,2.0,4.0,0.0,9.0,0.0,9.0,1351.0,"1,2","1,2",0,"0,7","0,9",0,1.5,1.5,0.0,3.5,4.5,27.0,3.857142857142857,0.5,1.0,2.0,0.0,4.5,0.0,4.5,25.0,12.5,1.0,0.5,1351.0,675.5,0.019970414201183433,2.2,1.7888543819998317,4.5,0.0,4.5
8.0,6.0,16.0,17.0,0.0,15.0,0.0,24.0,11239.0,7,8,8,7,10,1,7.0,8.0,8.0,7.0,10.0,86.0,12.285714285714286,0.75,2.0,2.125,0.0,1.875,0.0,3.0,78.0,9.75,6.0,0.75,11239.0,1404.875,0.0076512455516014235,8.0,1.224744871391589,10.0,7.0,3.0
6.0,3.0,4.0,11.0,0.0,17.0,0.0,25.0,7664.0,"3,2","2,2",0,"1,2","2,6",0,2.5,2.0,0.0,1.5,4.0,66.0,9.428571428571429,0.5,0.6666666666666666,1.8333333333333333,0.0,2.8333333333333335,0.0,4.166666666666667,60.0,10.0,3.0,0.5,7664.0,1277.3333333333333,0.008610567514677104,2.0,1.4577379737113252,4.0,0.0,4.0
8.0,6.0,15.0,13.0,3.0,12.0,1.0,18.0,15354.0,6,"4,9","3,5","6,7",7,1,6.0,6.5,4.0,6.5,7.0,76.0,10.857142857142858,0.75,1.875,1.625,0.375,1.5,0.125,2.25,64.0,8.0,9.0,1.125,15354.0,1919.25,0.004949527841094106,6.0,1.1726039399558574,7.0,4.0,3.0
2.0,3.0,4.0,1.0,0.0,14.0,0.0,7.0,32098.0,7,6,6,8,"8,6",1,7.0,6.0,6.0,8.0,7.0,31.0,4.428571428571429,1.5,2.0,0.5,0.0,7.0,0.0,3.5,29.0,14.5,3.0,1.5,32098.0,16049.0,0.0009657621732764261,6.8,0.8366600265340756,8.0,6.0,2.0
2.0,0.0,2.0,2.0,0.0,3.0,0.0,10.0,2581.0,"1,3","0,4",0,"0,4","9,4",0,2.0,2.0,0.0,2.0,6.5,19.0,2.7142857142857144,0.0,1.0,1.0,0.0,1.5,0.0,5.0,17.0,8.5,0.0,0.0,2581.0,1290.5,0.007358636715724245,2.5,2.3979157616563596,6.5,0.0,6.5
6.0,1.0,14.0,19.0,0.0,26.0,0.0,25.0,12576.0,5,"3,3",10,"1,5",10,1,5.0,3.0,10.0,3.0,10.0,91.0,13.0,0.16666666666666666,2.3333333333333335,3.1666666666666665,0.0,4.333333333333333,0.0,4.166666666666667,85.0,14.166666666666666,1.0,0.16666666666666666,12576.0,2096.0,0.007235429752723225,6.2,3.5637059362410923,10.0,3.0,7.0
4.0,2.0,1.0,7.0,0.0,8.0,0.0,17.0,2995.0,9,9,8,10,8,1,9.0,9.0,8.0,10.0,8.0,39.0,5.571428571428571,0.5,0.25,1.75,0.0,2.0,0.0,4.25,35.0,8.75,2.0,0.5,2995.0,748.75,0.0130173564753004,8.8,0.8366600265340756,10.0,8.0,2.0
4.0,1.0,3.0,7.0,0.0,17.0,0.0,8.0,2042.0,9,9,8,10,8,1,9.0,9.0,8.0,10.0,8.0,40.0,5.714285714285714,0.25,0.75,1.75,0.0,4.25,0.0,2.0,36.0,9.0,1.0,0.25,2042.0,510.5,0.01957905041605482,8.8,0.8366600265340756,10.0,8.0,2.0
8.0,4.0,19.0,8.0,0.0,26.0,0.0,25.0,3377.0,7,8,8,7,10,1,7.0,8.0,8.0,7.0,10.0,90.0,12.857142857142858,0.5,2.375,1.0,0.0,3.25,0.0,3.125,82.0,10.25,4.0,0.5,3377.0,422.125,0.02664298401420959,8.0,1.224744871391589,10.0,7.0,3.0
3.0,5.0,6.0,11.0,0.0,19.0,0.0,16.0,13037.0,"6,4","8,1","7,5","8,2","9,4",1,5.0,4.5,6.0,5.0,6.5,60.0,8.571428571428571,1.6666666666666667,2.0,3.6666666666666665,0.0,6.333333333333333,0.0,5.333333333333333,57.0,19.0,5.0,1.6666666666666667,13037.0,4345.666666666667,0.004601932811780948,5.4,0.8215838362577492,6.5,4.5,2.0
5.0,5.0,11.0,12.0,0.0,14.0,0.0,21.0,15228.0,"4,7","4,3","1,5",5,"9,6",1,5.5,3.5,3.0,5.0,7.5,68.0,9.714285714285714,1.0,2.2,2.4,0.0,2.8,0.0,4.2,63.0,12.6,5.0,1.0,15228.0,3045.6,0.004465165145446188,4.9,1.7818529681205462,7.5,3.0,4.5
2.0,3.0,2.0,4.0,0.0,7.0,0.0,7.0,1835.0,1,"0,9",0,"0,3","8,8",0,1.0,4.5,0.0,1.5,8.0,25.0,3.5714285714285716,1.5,1.0,2.0,0.0,3.5,0.0,3.5,23.0,11.5,3.0,1.5,1835.0,917.5,0.013616557734204794,3.0,3.2596012026013246,8.0,0.0,8.0
5.0,5.0,0.0,12.0,5.0,11.0,0.0,12.0,18545.0,"4,8","5,4",5,"7,3","9,4",1,6.0,4.5,5.0,5.0,6.5,50.0,7.142857142857143,1.0,0.0,2.4,1.0,2.2,0.0,2.4,40.0,8.0,10.0,2.0,18545.0,3709.0,0.0026959991372802763,5.4,0.8215838362577492,6.5,4.5,2.0
11.0,12.0,39.0,22.0,2.0,45.0,0.0,28.0,18955.0,"6,3","5,7","4,5",8,7,1,4.5,6.0,4.5,8.0,7.0,159.0,22.714285714285715,1.0909090909090908,3.5454545454545454,2.0,0.18181818181818182,4.090909090909091,0.0,2.5454545454545454,146.0,13.272727272727273,14.0,1.2727272727272727,18955.0,1723.1818181818182,0.00838784553703313,6.0,1.541103500742244,8.0,4.5,3.5
3.0,0.0,0.0,4.0,0.0,11.0,0.0,7.0,2944.0,7,8,8,7,10,1,7.0,8.0,8.0,7.0,10.0,25.0,3.5714285714285716,0.0,0.0,1.3333333333333333,0.0,3.6666666666666665,0.0,2.3333333333333335,22.0,7.333333333333333,0.0,0.0,2944.0,981.3333333333334,0.008488964346349746,8.0,1.224744871391589,10.0,7.0,3.0
1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,4271.0,"0,4","0,5",0,"0,4","0,2",0,2.0,2.5,0.0,2.0,1.0,10.0,1.4285714285714286,0.0,0.0,1.0,0.0,4.0,0.0,4.0,9.0,9.0,0.0,0.0,4271.0,4271.0,0.0023408239700374533,1.5,1.0,2.5,0.0,2.5
8.0,6.0,2.0,11.0,0.0,24.0,0.0,18.0,7568.0,7,5,5,"4,3",10,1,7.0,5.0,5.0,3.5,10.0,69.0,9.857142857142858,0.75,0.25,1.375,0.0,3.0,0.0,2.25,61.0,7.625,6.0,0.75,7568.0,946.0,0.009116131589377725,6.1,2.5099800796022267,10.0,3.5,6.5
7.0,6.0,9.0,19.0,0.0,32.0,0.0,28.0,16395.0,7,"7,3",5,8,"9,8",1,7.0,5.0,5.0,8.0,8.5,101.0,14.428571428571429,0.8571428571428571,1.2857142857142858,2.7142857142857144,0.0,4.571428571428571,0.0,4.0,94.0,13.428571428571429,6.0,0.8571428571428571,16395.0,2342.1428571428573,0.00616003903391071,6.7,1.6431676725154984,8.5,5.0,3.5
46.0,53.0,90.0,89.0,3.0,150.0,0.0,155.0,39314.0,10,10,8,10,10,1,10.0,10.0,8.0,10.0,10.0,586.0,83.71428571428571,1.1521739130434783,1.9565217391304348,1.934782608695652,0.06521739130434782,3.260869565217391,0.0,3.369565217391304,537.0,11.673913043478262,56.0,1.2173913043478262,39314.0,854.6521739130435,0.014905252448174996,9.6,0.8944271909999159,10.0,8.0,2.0
6.0,5.0,14.0,16.0,5.0,24.0,0.0,22.0,13221.0,"6,7","6,7",4,"8,3","9,4",1,6.5,6.5,4.0,5.5,6.5,92.0,13.142857142857142,0.8333333333333334,2.3333333333333335,2.6666666666666665,0.8333333333333334,4.0,0.0,3.6666666666666665,81.0,13.5,10.0,1.6666666666666667,13221.0,2203.5,0.006958100136136742,5.8,1.0954451150103321,6.5,4.0,2.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,0,0,0,"0,1",0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.641025641025641,1.0,1.9340579710144927,0.0,3.416666666666667,0.0,3.583333333333333,0.0,10.583333333333332,0.0,0.7303030303030302,988.0,1615.9772727272727,0.0,0.1,0.223606797749979,0.5,0.0,0.5
2.0,2.0,2.0,2.0,0.0,7.0,0.0,9.0,2100.0,"2,2","1,9","2,5","1,1","8,4",0,2.0,5.0,3.5,1.0,6.0,24.0,3.4285714285714284,1.0,1.0,1.0,0.0,3.5,0.0,4.5,22.0,11.0,2.0,1.0,2100.0,1050.0,0.01142313184198001,3.5,2.0615528128088303,6.0,1.0,5.0
5.0,8.0,9.0,19.0,2.0,22.0,0.0,17.0,6826.0,8,"7,2",7,"7,1","9,3",1,8.0,4.5,7.0,4.0,6.0,82.0,11.714285714285714,1.6,1.8,3.8,0.4,4.4,0.0,3.4,75.0,15.0,10.0,2.0,6826.0,1365.2,0.012011132268932181,5.9,1.6733200530681511,8.0,4.0,4.0
